table_name,schema_name,load_enabled
AgeGroups,mdm,yes
BusinessPartner,mdm,yes
BusinessPartnerCompanies,mdm,yes
BusinessUnits,mdm,yes
BusinessTypes,mdm,yes
Companies,mdm,yes
CompanyFXExposure,mdm,yes
CompanyHistory,mdm,yes
CompanyMapping,mdm,yes
Countries,mdm,yes
CountryMapping,mdm,yes
Currencies,mdm,yes
CustomerGoldenKey,mdm,yes
CustomerMapping,mdm,yes
CustomerToMap,mdm,yes
IndustryTypes,mdm,yes
IndustryTypesExceptions,mdm,yes
LocationAffiliatesMapping,mdm,yes
Locations,mdm,yes
MONA_AccountHeaders,mdm,yes
MONA_AccountHierarchy,mdm,yes
MONA_AccountsReporting,mdm,yes
MONA_CompanyPOV,mdm,yes
MONA_Segments,mdm,yes
Product,mdm,yes
ProductAffiliateMapping,mdm,yes
ProductGrouping,mdm,yes
ProductGroupingMapping,mdm,yes
StockAgeGroups,mdm,yes
UOM,mdm,yes
UOMMapping,mdm,yes