source_name,database_name,environment,workspace_id,connection_id,connection_name
dbb_lakehouse,dbb_lakehouse,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,feea8d0c-e063-48fb-acb2-30c207c3efab,dbb_lakehouse_TST
dbb_lakehouse,dbb_lakehouse,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,852754d5-09d2-45bf-8997-7ced6d56c51b,dbb_lakehouse_ACC
dbb_lakehouse,dbb_lakehouse,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,dcfa0d26-97c8-46bc-ba7e-d33536b4b1a3,dbb_lakehouse_QUAL
dbb_lakehouse,dbb_lakehouse,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,2f0d48b7-ab10-4694-9757-2e4409be0456,dbb_lakehouse_PRD
dbb_warehouse,dbb_warehouse,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,11f966b8-4c93-4f4d-a976-557e88be2119,dbb_warehouse_TST
dbb_warehouse,dbb_warehouse,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,6804d663-1434-4538-941a-84c07891f11e,dbb_warehouse_ACC
dbb_warehouse,dbb_warehouse,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,95dc2b77-887f-4dfe-a100-a7671f3203fd,dbb_warehouse_QUAL
dbb_warehouse,dbb_warehouse,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,9a166561-4a71-4718-9582-3560151595fc,dbb_warehouse_PRD
Dynamics,OSS_Dynamics_MHQ_Lakehouse,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,d01bb94c-d46f-4b37-baa5-6192223c06ad,OSS_Dynamics_MHQ_Lakehouse_TST
Dynamics,OSS_Dynamics_MHQ_Lakehouse,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,a7e702f9-e11e-44b8-b737-529e8f8b7475,OSS_Dynamics_MHQ_Lakehouse_ACC
Dynamics,OSS_Dynamics_MHQ_Lakehouse,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,f41f8c26-7a3e-4a29-acd1-ea1d0c1d010b,OSS_Dynamics_MHQ_Lakehouse_PRD
Dynamics,OSS_Dynamics_MHQ_Lakehouse,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,f41f8c26-7a3e-4a29-acd1-ea1d0c1d010b,OSS_Dynamics_MHQ_Lakehouse_PRD
Mona,MONA,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,d645f75d-9fd8-4e67-910d-22fee4b0900c,dbb_integration_MONA_PRD
Mona,MONA,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,d645f75d-9fd8-4e67-910d-22fee4b0900c,dbb_integration_MONA_PRD
Mona,MONA,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,d645f75d-9fd8-4e67-910d-22fee4b0900c,dbb_integration_MONA_PRD
Mona,MONA,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,d645f75d-9fd8-4e67-910d-22fee4b0900c,dbb_integration_MONA_PRD
Boomi,BE-SQLDB-BI-DATA-A,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,6f70c12d-dfec-4d44-9cd4-17f774d7f904,dbb_integration_Boomi_ACC
Boomi,BE-SQLDB-BI-DATA-A,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,6f70c12d-dfec-4d44-9cd4-17f774d7f904,dbb_integration_Boomi_ACC
Boomi,BE-SQLDB-BI-DATA-A,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,6f70c12d-dfec-4d44-9cd4-17f774d7f904,dbb_integration_Boomi_ACC
Boomi,BE-SQLDB-BI-DATA-A,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,6f70c12d-dfec-4d44-9cd4-17f774d7f904,dbb_integration_Boomi_ACC
DWH,BE-SQL-DATAPLATFORM-P-SQLDB-01,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,6455f9b6-b9f3-45fb-a617-8e57a000ee09,BE-DS-DATAPLATFORM-P
DWH,BE-SQL-DATAPLATFORM-P-SQLDB-01,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,6455f9b6-b9f3-45fb-a617-8e57a000ee09,BE-DS-DATAPLATFORM-P
DWH,BE-SQL-DATAPLATFORM-P-SQLDB-01,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,6455f9b6-b9f3-45fb-a617-8e57a000ee09,BE-DS-DATAPLATFORM-P
DWH,BE-SQL-DATAPLATFORM-P-SQLDB-01,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,6455f9b6-b9f3-45fb-a617-8e57a000ee09,BE-DS-DATAPLATFORM-P
LOG,LOG,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,c75610ac-4f9d-43e7-b94a-6e00b139f854,dbb_integration_LOG2_PRD
LOG,LOG,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,c75610ac-4f9d-43e7-b94a-6e00b139f854,dbb_integration_LOG2_PRD
LOG,LOG,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,c75610ac-4f9d-43e7-b94a-6e00b139f854,dbb_integration_LOG2_PRD
LOG,LOG,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,c75610ac-4f9d-43e7-b94a-6e00b139f854,dbb_integration_LOG2_PRD
MDS,MDS,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,806402bd-0732-411b-8f48-7de0365d8f49,dbb_integration_MDS_PRD
MDS,MDS,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,806402bd-0732-411b-8f48-7de0365d8f49,dbb_integration_MDS_PRD
MDS,MDS,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,806402bd-0732-411b-8f48-7de0365d8f49,dbb_integration_MDS_PRD
MDS,MDS,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,806402bd-0732-411b-8f48-7de0365d8f49,dbb_integration_MDS_PRD
MTM,MTMDWH,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,44e54521-c90d-45cd-822f-4402ed45139e,dbb_integration_MTM_PRD
MTM,MTMDWH,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,44e54521-c90d-45cd-822f-4402ed45139e,dbb_integration_MTM_PRD
MTM,MTMDWH,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,44e54521-c90d-45cd-822f-4402ed45139e,dbb_integration_MTM_PRD
MTM,MTMDWH,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,44e54521-c90d-45cd-822f-4402ed45139e,dbb_integration_MTM_PRD
STG,STG,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,23ca159e-f3dc-48b9-a5ac-0371e5202592,dbb_integration_STG_PRD
STG,STG,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,23ca159e-f3dc-48b9-a5ac-0371e5202592,dbb_integration_STG_PRD
STG,STG,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,23ca159e-f3dc-48b9-a5ac-0371e5202592,dbb_integration_STG_PRD
STG,STG,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,23ca159e-f3dc-48b9-a5ac-0371e5202592,dbb_integration_STG_PRD
OSS_GenericData,OSS_GenericData_MHQ_Warehouse,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,cadcd927-bc76-4cb5-9e9b-4d78a73ccb12,OSS_GenericData_MHQ_Warehouse_PRD
OSS_GenericData,OSS_GenericData_MHQ_Warehouse,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,cadcd927-bc76-4cb5-9e9b-4d78a73ccb12,OSS_GenericData_MHQ_Warehouse_PRD
OSS_GenericData,OSS_GenericData_MHQ_Warehouse,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,cadcd927-bc76-4cb5-9e9b-4d78a73ccb12,OSS_GenericData_MHQ_Warehouse_PRD
OSS_GenericData,OSS_GenericData_MHQ_Warehouse,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,cadcd927-bc76-4cb5-9e9b-4d78a73ccb12,OSS_GenericData_MHQ_Warehouse_PRD